nods,error
60,0.1621635999047104
70,0.1519223071762683
80,0.14284737868013142
90,0.134773192235496
100,0.12755253664527544
110,0.12104120213015168
120,0.1151431917900112
130,0.10977765852588739
140,0.10487669365961683
150,0.10038313162531853
160,0.09624864449037585
170,0.09243216587324099
180,0.08889861140448652
190,0.08561967783041702
200,0.08256893196094417
210,0.07972196178895885
220,0.07706135778630774
230,0.07456859342556488
