nods,error
3,0.3097956866050189
4,0.3102232034455583
5,0.31949589873445206
6,0.3091774935362932
7,0.3055074885756075
8,0.2995048692567832
9,0.2903359660803937
10,0.28588222485748105
11,0.27827438716755193
12,0.27238867860841376
13,0.266581798709717
14,0.25987191316968206
15,0.2551616465137818
16,0.24925714964453327
17,0.24444711146289055
18,0.23948944112197834
19,0.2345249434136849
20,0.2302436943971653
21,0.22543000797432367
22,0.22158899136933785
23,0.21741170563671064
24,0.21511581630505727
25,0.21316746290447863
26,0.21125585538742797
27,0.20923446833780535
28,0.20751254953467768
29,0.20546456093301213
30,0.2038921216252616
31,0.2020227305080331
32,0.20039489311311076
33,0.19867870443137114
34,0.1970180870126903
35,0.19542855766914258
36,0.19375736271570165
37,0.19227394689153954
38,0.19061671548296566
39,0.18921425295429106
40,0.18766348713462033
41,0.18624751262074035
42,0.18478856973005175
43,0.18337099260035394
44,0.18199197810150203
45,0.18058154676285287
46,0.1792727064370201
47,0.17787583950456476
48,0.17662910298956103
49,0.17529015940806936
50,0.17405911938487417
51,0.17278296498834766
52,0.17156047757522686
53,0.17034074420406675
54,0.16913078200455445
55,0.16796204097923706
56,0.16676759491760684
57,0.1656451884807133
58,0.16446848664467684
59,0.16338839392253668
60,0.16225475399968214
61,0.16118979840533143
62,0.16009877148094898
63,0.1590475190842291
64,0.15799574219770296
65,0.15695967873896954
66,0.15594419059042242
67,0.1549244263127445
68,0.153942607152473
69,0.15293995094847368
70,0.15198947288684383
71,0.15100597958228335
72,0.15008327704320745
73,0.1491311568258027
74,0.14822252986299844
75,0.14729976554093493
76,0.14640577160700818
77,0.14551054599950497
78,0.14463157880479915
79,0.14376224927220616
80,0.14289856842666193
81,0.14205364521464592
82,0.1412054005035559
83,0.1403835282555015
84,0.13955077958610573
85,0.13875072150173828
86,0.1379334553413223
87,0.137154079551852
88,0.13635698296341392
89,0.13559249032011156
90,0.13481605230628624
91,0.13406487610341244
92,0.13330807463066918
93,0.13257019406977122
94,0.1318320861302107
95,0.13110743630763633
96,0.13038714981834865
97,0.12967562954492795
98,0.12897235624625036
99,0.12827383462122643
100,0.12758682383214115
101,0.12690114577720912
102,0.12622969889128477
103,0.12555668981451795
104,0.12490015543377542
105,0.12423962516518294
106,0.12359739478803977
107,0.12294914089956777
108,0.12232064508928175
109,0.1216844556993193
110,0.12106916067275986
111,0.12044530663144926
112,0.11984222139296108
113,0.11923151050532255
114,0.11863913189800535
115,0.11804106740373577
116,0.11745922086677663
117,0.11687333510036968
118,0.116301840232933
119,0.115727692307658
120,0.11516636439882166
121,0.11460353811894652
122,0.11405218944935314
123,0.11350029142393936
124,0.11295873237352794
125,0.1124173903099992
126,0.11188543029952136
127,0.1113542914540222
128,0.11083173974274985
129,0.11031046951390167
130,0.10979713587314865
131,0.10928541652152113
132,0.1087811118045865
133,0.10827864128588072
134,0.10778317790449066
135,0.10728966880209878
136,0.10680286112564286
137,0.10631803967741416
138,0.10583970436243018
139,0.10536330956641926
140,0.10489326583067449
141,0.10442504862611734
142,0.1039631184686538
143,0.10350284098250473
144,0.10304884936438974
145,0.10259628421840805
146,0.10215005920246956
147,0.10170498887489998
148,0.10126636173483217
149,0.10082857797115974
